BotName,NanoLab,RoboGrp,EcoClub,AeroGrp,ChemLab,ClubNet,Analytx,BioLab,CybClub,DataLab
LanternLogic,4,5,3,4,4,0,3,4,4,2
DataDynamo,3,4,2,3,3,4,4,3,3,2
EcoMentor,4,2,4,4,3,3,2,4,3,3
CodeCrafter,3,3,3,2,3,3,3,2,2,2
BrainBeacon,3,4,3,2,3,2,3,2,2,3
PixelPilot,3,2,2,3,2,2,2,3,2,2
QuantumQuill,2,3,3,2,2,2,2,2,2,2
SynthSage,2,3,2,2,2,2,3,2,2,2
CipherSense,2,2,2,2,3,3,2,2,2,3
MetaMender,2,2,2,2,2,2,2,3,3,2
CircuitScribe,2,2,2,2,2,2,2,2,3,2
PilotPattern,2,2,9,2,2,9,2,2,2,2
NeuralNexus,2,2,2,2,2,2,2,2,2,2
SystemSeer,2,2,2,2,2,2,2,2,2,2
RoboRegent,2,2,2,2,2,2,2,2,2,2
